Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Include Title,Include abstract,Exclude,accept�contents,rq�answers,,
Time Series Neural Networks for Real Time Sign Language Translation,S. S Kumar; T. Wangyal; V. Saboo; R. Srinath,"Computer Science and Engineering Department, PES Institute of Technology, Bangalore, India; Computer Science and Engineering Department, PES Institute of Technology, Bangalore, India; Computer Science and Engineering Department, PES Institute of Technology, Bangalore, India; Computer Science and Engineering Department, PES Institute of Technology, Bangalore, India",2018 17th IEEE International Conference on Machine Learning and Applications (ICMLA),17-Jan-19,2018,,,243,248,"Sign language is the primary mode of communication for the hearing and speech impaired and there is a need for systems to translate sign languages to spoken languages. Prior research has been focused on providing glove based solutions which are intrusive and expensive. We propose a sign language translation system based solely on visual cues and deep learning for accurate translation. Our system applies Computer Vision and Neural Machine Translation for American Sign Language (ASL) gloss recognition and translation respectively. In this paper, we show that an end to end neural network system is not only capable of recognition of individual ASL glosses but also translation of continuous sign language videos into complete English sentences, making it an effective and practical tool for sign language communication.",,978-1-5386-6805-4,10.1109/ICMLA.2018.00043,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614068,"Sign Language Translation, Computer Vision, Long Short Term Memory Networks, Neural Machine Translation, Attention Neural Networks, Deep Neural Networks, American Sign Language",Assistive technology;Gesture recognition;Videos;Recurrent neural networks;Time series analysis;Shape,computer vision;handicapped aids;language translation;learning (artificial intelligence);natural language processing;neural nets;real-time systems;sign language recognition;time series;video signal processing,time series neural networks;Neural Machine Translation;American Sign Language gloss recognition;hearing impaired;speech impaired;end to end neural network system;real time sign language translation system;ASL gloss recognition;computer vision;sign language communication;continuous sign language videos,,7,,23,IEEE,17-Jan-19,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,"Our system is an ensemble of multiple neural networks, where each network is trained to optimize over separate stages of translation",,
Sign and Machine Language Recognition for Physically Impaired Individuals,S. Jothimani; S. Shruthi; E. D. Tharzanya; S. Hemalatha,"Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu; Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu; Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu; Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu",2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC),19-Sep-22,2022,,,1483,1488,"Sign language is a type of communication used by people who are deaf or hard of hearing. Disabled People use sign language gestures as a non-verbal communication tool to express their feelings and thoughts to other people. It's tough to converse with those who are deaf or hard of hearing. Deaf and mute persons communicate via hand gesture sign language, which makes it difficult for non-deaf and mute people to understand their language. As a result, technologies that recognise numerous signs and communicate the data to regular people are needed. However, because these ordinary people have a hard time understanding their expressions, experienced sign language experts are required for medical and legal appointments, as well as educational and training sessions. There has been an upsurge in demand for these services in recent years. Other types of services, such as video remote human interpreter using a high-speed Internet connection, have been established, providing an easy-to-use sign language interpreter service that may be utilised and benefited, but with significant limits. In order to address this issue, the artificial intelligence technology can be implemented to analyze user’s hand with finger detection. A novel system has been suggested to design the vision-based system in real time environments. Then the Convolutional Neural Network (CNN) algorithm is used to classify the sign language and provide the label about recognized sign with voice alert.",,978-1-6654-7971-4,10.1109/ICESC54411.2022.9885433,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9885433,Sign Language;Deep learning;Impairment people;Convolutional neural network;Region of Interest,Training;Image recognition;Law;Gesture recognition;Speech recognition;Auditory system;Assistive technologies,gesture recognition;handicapped aids;human computer interaction;Internet;natural language processing;neural nets;sign language recognition,hearing;Disabled People;sign language gestures;nonverbal communication tool;deaf;hand gesture sign language;mute people;recognise numerous signs;regular people;ordinary people;experienced sign language experts;recognized sign,,,,24,IEEE,19-Sep-22,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,,,
Low Resolution Hand Gestures Recognition of Bengali Sign Alphabet by Using a Convolutional Neural Network,A. Y. Srizon; M. A. Hossainy; M. R. Haquez,"Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh; Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh; Department of Computer Science & Engineering, Rajshahi University of Engineering & Technology, Rajshahi, Bangladesh",2021 24th International Conference on Computer and Information Technology (ICCIT),28-Jan-22,2021,,,1,6,"Sign language is an essential tool for the deaf and the hard of hearing community of approximately 1.33 billion people. Due to this fact, researches have been conducted for decades for near-accurate recognition of sign characters. Sensor-based approaches and vision-based approaches have been adapted so far for tackling this dilemma. Sensor-based approaches can obtain high performance but it is costly and demands physical contact to sensors. On the other hand, vision-based approaches are not costly, need no contact but have not yet been able to produce a high accuracy like sensor-based approaches. The dilemma of sign characters recognition gets more problematic for Bengali sign language as not many datasets regarding Bengali sign language are available. Moreover, not many significant contributions can be found in this domain like other popular languages such as English, Turkish, Japanese, and Indian sign language. Furthermore, one of the most popular Bengali sign language datasets, Ishara-Lipi, consists of a few low-resolution samples. This study is focused on recognizing the low-resolution hand gestures of Bengali sign language. In this research, a convolutional neural network has been proposed which is suitable for the recognition of low-resolution sign gestures. Experimental results showed that the proposed approach achieved 99.08%, 99.38%, and 99.07% overall accuracy for digits, characters, and both digits and characters of the Ishara-Lipi dataset respectively.",,978-1-6654-9435-9,10.1109/ICCIT54785.2021.9689895,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9689895,Convolutional Neural Networks;Augmentation;Ishara-Lipi Dataset;Bengali Sign Language Recognition;Adam,Performance evaluation;Computational modeling;Gesture recognition;Assistive technologies;Real-time systems;Mobile handsets;Sensors,feature extraction;gesture recognition;handicapped aids;natural language processing;neural nets;sign language recognition,convolutional neural network;sensor-based approaches;vision-based approaches;sign characters recognition;popular languages;Indian sign language;popular Bengali sign language datasets;low-resolution samples;low-resolution hand gestures;low-resolution sign gestures;low resolution hand gestures recognition;Bengali sign alphabet,,,,27,IEEE,28-Jan-22,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""Therefore, in this study, we are proposing a deep convolutional neural network that is capable of recognizing low-resolution hand gestures images.""pg.2.",,11
Thai Sign Language Recognition: an Application of Deep Neural Network,A. Chaikaew; K. Somkuan; T. Yuyen,"Computer Science, SCIT, Chiang Rai Rajabhat University, Chiang Rai, Thailand; Information Technology, SCIT, Chiang Rai Rajabhat University, Chiang Rai, Thailand; Computer Science, SCIT, Chiang Rai Rajabhat University, Chiang Rai, Thailand","2021 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunication Engineering",11-May-21,2021,,,128,131,"Thai Sign Language (TSL) is the national sign language for Thai deaf people or hearing impaired in Thailand. These people with disabilities can use sign language to communicate with people with disabilities but face obstacles in communicating daily with ordinary people. Technology should play a key role in helping disadvantaged people achieve a better quality of life. This research aims to find ways to create Thai sign language recognition applications and be developed for real-time sign language translation in the next step. We purpose a simple approach with a MediaPipe framework that helps to extract the hand landmark from video on the preprocessing step and use that landmark to build the model for recognition hand gestures with various Recurrent neural networks (RNN). The result showed that the model builds with LSTM, BLSTM and GRU has an accuracy greater than 90 percent. This approach can produce an accurate close to the traditional approach.",,978-1-6654-1569-9,10.1109/ECTIDAMTNCON51128.2021.9425711,Research and Development; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425711,Computer Vision;Machine Learning;Neural Network;Thai Sign Language (TSL),Recurrent neural networks;Assistive technology;Face recognition;Digital art;Gesture recognition;Auditory system;Streaming media,handicapped aids;linguistics;real-time systems;recurrent neural nets;sign language recognition,recognition hand gestures;recurrent neural networks;deep neural network;national sign language;Thai deaf people;ordinary people;disadvantaged people;real-time sign language translation;Thai sign language recognition;RNN;TSL;LSTM;BLSTM;GRU;MediaPipe framework,,13,,12,IEEE,11-May-21,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,"In this paper, we presented Thai Sign Languages recognition that builds from the MediaPipe framework by extracting key points from hand landmarks.",,
Visual Descriptors Based Real Time Hand Gesture Recognition,S. S. Kakkoth; S. Gharge,"Department of EXTC, V.E.S Institute of Technology, Mumbai, India; Department of EXTC, V.E.S Institute of Technology, Mumbai, India",2018 International Conference On Advances in Communication and Computing Technology (ICACCT),11-Nov-18,2018,,,361,367,"Vision based gesture recognition technologies based on structural shape descriptors and contour analysis methods have been described in this paper. Gesture have been the basic mode of communication since ancient times, until vocal communication was developed. Skin color detection technique for hand segmentation based on YCbCr methods has proved effective enough in real environment. Haar based classifier for face detection is used to remove one of the largest contour besides hand. Median filtering along with morphological operations applied here alleviates the effects of noise to a great extend without losing the boundary information in the image. The binary image formed after this only consists of two largest skin colored contours, mostly one or two hand contour image. Over this resultant contour, structural analysis based on contour shape along with convex hull and convexity defect formation together with geometrical analysis based on angle between convexity defect point and that of hand centroid helps in determining the number of fingertips. Based on number of finger-tips, the gestures can be classified into various gestures. Various applications in real time hand gesture recognition include American Sign Language (ASL) recognition, human computer interaction (HCI), robotics, real time traffic signal control and remotely controlling devices such as TVs, air conditioners, fan using hand gestures.",,978-1-5386-0926-2,10.1109/ICACCT.2018.8529663,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529663,Hand gesture recognition;RGB camera;contour;convex hull;color space;ASL;image moments,Image color analysis;Face;Skin;Gesture recognition;Image segmentation;Real-time systems;Cameras,computer vision;feature extraction;gesture recognition;image colour analysis;image filtering;image segmentation;median filters,vision based gesture recognition technologies;structural shape descriptors;contour analysis methods;vocal communication;skin color detection technique;hand segmentation;YCbCr methods;haar based classifier;largest skin colored contours;hand contour image;structural analysis;contour shape;convex hull;convexity defect formation;hand centroid;real time traffic signal control;hand gestures;American sign language recognition;visual descriptors based real time hand gesture recognition,,2,,16,IEEE,11-Nov-18,,,IEEE,IEEE Conferences,Yes ,No,,,,,
Sign Language Recognition and Translation Method based on VTN,W. Qin; X. Mei; Y. Chen; Q. Zhang; Y. Yao; S. Hu,"College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; College of Electrical Engineering and Control Science, Nanjing Tech University, Nanjing, China; Department of Mechatronics and Automotive, Chizhou Vocational And Technical College, Chizhou, China",2021 International Conference on Digital Society and Intelligent Systems (DSInS),10-Jan-22,2021,,,111,115,"Sign language recognition plays an important role in real-time sign language translation, communication for deaf people, education and human-computer interaction. However, vision-based sign language recognition faces difficulties such as insufficient data, huge network models and poor timeliness. We use VTN (Video Transformer Net) to construct a lightweight sign language translation network. We construct the dataset called CSL_BS (Chinese Sign Language-Bank and Station) and two-way VTN to train isolated sign language and compares it with I3D (Inflated three Dimension). Then I3D and VTN are respectively used as feature extraction modules to extract the features of continuous sign language sequences, which are used as the input of the continuous sign language translation decoding network (seq2seq). Based on CSL-BS, two-way VTN achieves 87.9% accuracy while two-way I3D is 84.2%. And the recognition speed is increased by 46.8%. In respect of continuous sign language translation, the accuracy of VTN_seq2seq is 73.5% while I3D_seq2seq is 71.2%, the recognition speed is 13.91s and 26.54s respectively.",,978-1-6654-0630-7,10.1109/DSInS54396.2021.9670588,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9670588,component;continuous sign language recognition;Isolated sign language recognition;sign language feature extraction;encoding-decoding network;sign language dataset,Human computer interaction;Gesture recognition;Assistive technologies;Streaming media;Parallel processing;Feature extraction;Transformers,computer vision;feature extraction;human computer interaction;language translation;natural language processing;sign language recognition,translation method;education;human-computer interaction;vision-based sign language recognition;lightweight sign language translation network;Chinese sign language-bank and station;sign language sequences;sign language translation decoding network;CSL-BS;recognition speed;VTN,,2,,21,IEEE,10-Jan-22,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,"In this paper, we use the VTN recognizes isolated sign language and extracts continuous sign language features which be saved as the input of seq2seq model.(pg-2)",,
"Real-time sign languages recognition based on hausdorff distance, Hu invariants and neural network",S. Özbay; M. Safar,"Department of Electrical and Electronics Engineering, University of Gaziantep, Gaziantep, Turkey; Department of Electrical and Electronics Engineering, University of Gaziantep, Gaziantep, Turkey",2017 International Conference on Engineering and Technology (ICET),08-Mar-18,2017,,,1,8,"In this paper, a universal sign languages recognition system is proposed using two different approaches. Although a variety of sign languages exist in use, the proposed system recognizes three widely used sign languages as the American Sign Language, British Sign Language and Turkish Sign Language to make the recognition universal. One of the proposed approach is primarily based on Hausdorff distance and Hu invariants as the feature vectors and the system first focuses on how to process the hand movements and then it recognizes the different letters by the help of Hausdorff distance and Hu invariants measurements. The second approach is implemented by a feed forward neural network structure and recognition is provided with training data as three different sign language alphabets. It is shown that both approaches operate successfully while experimental results demonstrate that neural network based method provides superior performance.",,978-1-5386-1949-0,10.1109/ICEngTechnol.2017.8308204,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308204,,Gesture recognition;Assistive technology;Shape;Training;Computer vision;Real-time systems,feature extraction;feedforward neural nets;sign language recognition,hausdorff distance;universal sign languages recognition system;American Sign Language;British Sign Language;Turkish Sign Language;Hu invariants measurements;feed forward neural network structure;neural network based method;universal recognition;real-time sign languages recognition;sign language alphabets;training data;feature vectors,,3,,17,IEEE,08-Mar-18,,,IEEE,IEEE Conferences,Yes ,Yes,,,,,
Sign Language Detection using Action Recognition,V. H. Iyer; U. M. Prakash; A. Vijay; P. Sathishkumar,"Department of Computer Science and Engineering, SRM Institute of Science and Technology, Chennai, India; Department of Computer Science and Engineering, SRM Institute of Science and Technology, Chennai, India; Department of Computer Science and Engineering, SRM Institute of Science and Technology, Chennai, India; Department of Computer Science and Engineering, PGP college of Engineering and Technology, Chennai, India",2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),18-Jul-22,2022,,,1682,1685,"Sign Language Detection has become crucial and effective for humans and research in this area is in progress and is one of the applications of Computer Vision. Earlier works included detection using static signs with the help of a simple deep learning-based Convolutional Neural Network. This proposal is based on continuous detection of image frames in real-time using action detection so as to detect the action performed by the user. The model uses LSTM neural network model after identifying keypoints using mediapipe holistic which includes face, pose and hand features. The proposed work is done by collecting key value points for training and testing, pre-processing the data, and creating labels and features. It saves the weights and evaluates the model using confusion matrix accuracy.",,978-1-6654-3789-9,10.1109/ICACITE53722.2022.9823484,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9823484,Neural Network (Convolutional and Recurrent);Long-Short Term Memory(LSTM);Mediapipe Holistic;Computer Vision;Sign Language Detection,Training;Computational modeling;Face recognition;Neural networks;Gesture recognition;Assistive technologies;Real-time systems,computer vision;convolutional neural nets;feature extraction;learning (artificial intelligence);matrix algebra;recurrent neural nets;sign language recognition,sign language detection;action recognition;static signs;continuous detection;LSTM neural network model;simple deep learning based convolutional neural network;computer vision;image frames;real-time systems;matrix accuracy,,1,,21,IEEE,18-Jul-22,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,As mentioned there had been many models developed over the years for sign language detection but the combination of mediapipe holistic and LSTM serves a model with very 8 high accuracy.(pg-3),,
Different Model for Hand Gesture Recognition with a Novel Line Feature Extraction,M. R. Mahmood; A. M. Abdulazeez,"Department of Computer, University of Zakho, Iraq-Kurdistan; Department of Computer, University of Zakho, Iraq-Kurdistan",2019 International Conference on Advanced Science and Engineering (ICOASE),30-May-19,2019,,,52,57,"Hand gestures are commonly used for communication between both impaired community and normal people. Sign languages stand for the human languages of deaf people. They form the most growing domain of research worldwide. A number of techniques was developed in this area lately. It is recognized by means of deducing the features involved in the use of hand gesture. As a matter of fact, various approaches, namely the vision-based, the data-glove-based, the colored-marker and the Electromyogram (EMG) approaches have been utilized by researchers to recognize the different hand gestures implemented in many different fields such as the whole approaches which can be divided into four main categories, viz. Data Collection, Image Processing, Feature Extraction and Gesture Recognition. Only few of those categories have been discussed in this paper to be compared between the accuracy rates by applying Artificial Neural Network (ANN) classification. This classification is based on different models and a novel method for Real-Time Hand Gesture Recognition System (RTHGRS). The latter has used one line (fifty features) extracted from black and white processed images to recognize the numbers from (1-10) in Kurdish Sign Language (KurdSL) using one hand only with accuracy 98%.",,978-1-5386-9343-8,10.1109/ICOASE.2019.8723731,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8723731,sign language;hand gesture recognition;kurdish sign language (kurdsl);artificial neural network;feature extraction,Feature extraction;Gesture recognition;Image color analysis;Electromyography;Sensors;Real-time systems;Assistive technology,data gloves;electromyography;feature extraction;handicapped aids;neural nets;sign language recognition,impaired community;human languages;deaf people;data-glove-based system;real-time hand gesture recognition system;image processing;electromyogram approaches;colored-marker;novel line feature extraction;Kurdish sign language;artificial neural network classification;data collection;vision-based method,,5,,31,IEEE,30-May-19,,,IEEE,IEEE Conferences,Yes ,Yes,No,No,,,
Real-Time American Sign Language Realization Using Transfer Learning With VGG Architecture,M. D. Khan; B. S. Patro; R. Ranjan; M. C. Behera; R. Kumar; U. Raj,"School Of Electronics, KIIT Deemed University, Bhubaneswar, India; School Of Electronics, KIIT Deemed University, Bhubaneswar, India; School Of Electronics, KIIT Deemed University, Bhubaneswar, India; School Of Electronics, KIIT Deemed University, Bhubaneswar, India; School Of Electronics, KIIT Deemed University, Bhubaneswar, India; School Of Electronics, KIIT Deemed University, Bhubaneswar, India","2021 IEEE 4th International Conference on Computing, Power and Communication Technologies (GUCON)",02-Nov-21,2021,,,1,5,"Sign language is a barrier between the hearing impaired and the hearing community. In the modern world, despite the technical advancements, it is still a struggle for specially-abled people to communicate and express their thoughts with the rest of the world. A system is built that will reduce the gap for the specially-abled, the system recognizes the hand gesture and translates it into corresponding letters. ASL data set is used. The software is built on Python and inherits the power of deep learning. A convolutional neural network is used for image classification. The system was able to classify all the alphabets from A-Z with an accuracy of 98.89 percent. The software aims to eradicate the communication barrier between the hearing-impaired community and the rest of the world. The software provides a medium for the inarticulate community to express their thoughts to everyone out there.",,978-1-7281-9951-1,10.1109/GUCON50781.2021.9573677,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9573677,Sign Language Realization;Deep Learning;Convolutional Neural Network;Computer Vision;Random Forest;real-time,Training;Deep learning;Transfer learning;Gesture recognition;Computer architecture;Auditory system;Assistive technologies,convolutional neural nets;deep learning (artificial intelligence);gesture recognition;handicapped aids;image classification;natural language processing,ASL;deep learning;convolutional neural network;image classification;hearing-impaired community;transfer learning;VGG architecture;hand gesture recognition;American sign language realization;Python,,,,24,IEEE,02-Nov-21,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""The
implemented deep learning application was designed to
identify hand gestures into one of the 26 English alphabets
thus implementing an artificial way of sign language
communication."" p.4.",,12
Real-Time Sign Language Recognition in Complex Background Scene Based on a Hierarchical Clustering Classification Method,T. -Y. Pan; L. -Y. Lo; C. -W. Yeh; J. -W. Li; H. -T. Liu; M. -C. Hu,"Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan",2016 IEEE Second International Conference on Multimedia Big Data (BigMM),18-Aug-16,2016,,,64,67,"Cameras are embedded in many mobile/wearable devices and can be used for gesture recognition or even sign language recognition to help the deaf people communicate with others. In this paper, we proposed a vision-based gesture recognition system which can be used in environments with complex background. We design a method to adaptively update the skin color model for different users and various lighting conditions. Three kinds of features are combined to describe the contours and the salient points of hand gestures. Principle Component Analysis (PCA), Linear Discriminant Analysis (LDA), and Support Vector Machine (SVM) are integrated to construct a novel hierarchical classification scheme. We evaluated the proposed recognition method on two datasets: (1) the CSL dataset collected by ourselves, in which images were captured in complex background. (2) The public ASL dataset, in which images of the same gesture were captured in different lighting conditions. Our method achieves the accuracies of 99.8% and 94%, respectively, which outperforms the existing works.",,978-1-5090-2179-6,10.1109/BigMM.2016.44,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7544998,gesture recognition;sign language;LDA;SVM;hierarchical clustering,Gesture recognition;Assistive technology;Feature extraction;Skin;Image color analysis;Sensors;Training,cameras;handicapped aids;image classification;image colour analysis;pattern clustering;principal component analysis;sign language recognition;support vector machines,real-time sign language recognition;complex background scene;hierarchical clustering classification method;cameras;mobile devices;deaf people;vision-based gesture recognition system;skin color model;principle component analysis;PCA;linear discriminant analysis;LDA;support vector machine;SVM;hierarchical classification scheme;CSL dataset;ASL dataset;lighting conditions;wearable devices,,21,,13,IEEE,18-Aug-16,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""our proposed sign language recognition
system consists of two phases. In the training phase, we
collect images of 26 hand gestures and develop a robust
hand segmentation method to generate contour information.
Three kinds of features are then extracted to represent the
gesture and a dimension reduction step is applied to find
the most discriminative features for the final classification
step.""  p.65.",,13
Hand gesture recognition system with real-time palm tracking,I. Hussain; A. K. Talukdar; K. K. Sarma,"Dept. of Electronics and Communication Engg., Gauhati University, Guwahati, India; Dept. of Electronics and Communication Engg., Gauhati University, Guwahati, India; Dept. of Electronics and Communication Engg., Gauhati University, Guwahati, India",2014 Annual IEEE India Conference (INDICON),05-Feb-15,2014,,,1,6,"Over the years Vision based real time gesture recognition system has witnessed an exponential growth because of its manifoldness applications, ranging from sign language to virtual reality and its ability to interact with system efficiently through HCI. In this paper, we have proposed a hand gesture recognition system for American Sign Language recognition using important features of hand such as fingertips, palm center etc. The system is capable of recognizing hand gestures even when the fore-arm is involved and it can tolerate a certain rotation of palm and fore-arm. We have implemented principal component analysis to remove ambiguity between two similar types of gestures and given emphasis to detect movement epenthesis by means optical flow technique.",2325-9418,978-1-4799-5364-6,10.1109/INDICON.2014.7030571,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7030571,American Sign language (ASL);human computer interface (HCI);hue-saturation-value model (HSV);convex-hull;fingertips detection;optical flow;movement epenthesis (ME);principal component analysis (PCA),Gesture recognition;Image color analysis;Optical imaging;Hidden Markov models;Principal component analysis;Assistive technology;Skin,human computer interaction;image sequences;palmprint recognition;principal component analysis;sign language recognition,real-time palm tracking;vision-based real-time hand gesture recognition system;Ameriacn Sign Language recognition;hand features;fingertips;palm center;palm rotation;fore-arm rotation;principal component analysis;movement epenthesis detection;optical flow technique,,15,,15,IEEE,05-Feb-15,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Real time hand gesture recognition system for android devices,H. Lahiani; M. Elleuch; M. Kherallah,"National School of Electronics and Telecommunications, Univesrity of Sfax, Sfax, Tunisia; National School of Computer Science (ENSI), University of Manouba, Manouba, Tunisia; Faculty of Sciences, Univesrity of Sfax, Sfax, Tunisia",2015 15th International Conference on Intelligent Systems Design and Applications (ISDA),13-Jun-16,2015,,,591,596,"Hand gestures are natural and intuitive communication way for the human being to interact with his environment. They serve to designate or manipulate objects, to enhance speech, or communicate in a noisy place. They can also be a separate language. Gestures can have different meanings according to the language or culture. They can also be a way to interact with machines. The subject of our research concerns the design and development of computer vision methods for recognizing hand gestures by a mobile device. We have proposed a system based on SVM for recognizing various hand gestures. The system consists of four steps: hand segmentation, smoothing, feature extraction and classification. The idea here is to allow the smartphone to perform all necessary steps to recognize gestures without the need to connect to a computer in which a database is located to perform training process. With this system, all steps can be done by the smartphone. In this paper, for image acquisition, frontal camera of the smartphone is used. After that frames are gotten from the video, the color sampling is done which is followed by making binary representation of the hand, and then contours representing the hand were described with convex polygons to get information about fingertips and finally the input gesture was recognized using proper classifier.",2164-7151,978-1-4673-8709-5,10.1109/ISDA.2015.7489184,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7489184,Hand gesture recognition;Image Segmentation;Android;SVM;Human Computer Interaction,Smoothing methods;Support vector machines;Image edge detection;Image color analysis,Android (operating system);computer vision;gesture recognition;image colour analysis;image representation;real-time systems;smart phones;support vector machines,real time hand gesture recognition system;Android devices;sign language;computer vision;mobile device;SVM;smartphone;color sampling;binary representation,,31,,15,IEEE,13-Jun-16,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,"""the steps that we
have used for recognizing different hand gestures are ColorBased Hand Segmentation, Median filter for smoothing, and
[mally Support Vector Machine as a proper classifier."" p.596.",,14
Real Time Gesture Detection Using Convolutional Neural Network,R. Shamalik; S. Koli,"Department of E&TC, G H Raisoni College of Engineering and Management Pune, India and BVCOEW, Pune, India; Department of E&TC, Dr.D.Y.Patil School Of Engineering, Pune, India","2022 IEEE 4th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)",22-Dec-22,2022,,,1,4,"Gestures make touch less connectivity and systems easier to use. In many applications, such as Augmented Reality (AR) and Virtual Reality (VR), computer vision is crucial. Systems created for people with physical disabilities and sign language detection rely heavily on gesture detection. In this study, Convolutional Neural Networks (CNN) are used to demonstrate a real-time system that enables efficient feature extraction for gesture detection. A CNN is trained for certain gestures that are essential in Human Machine Interaction (HMI), primarily for persons who struggle to communicate vocally. The performance of thresholding and depth perception, in addition to gesture detection, enables reliable results to be produced even in noisy backgrounds. Effective background elimination and contours aid in properly mapping hand gestures in a diverse range of backgrounds.",,978-1-6654-6246-4,10.1109/ICCCMLA56841.2022.9989195,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9989195,CNN;Computer Vision;Gesture Detection;HMI,Computer vision;Solid modeling;Pandemics;Graphics processing units;Streaming media;Feature extraction;Real-time systems,augmented reality;computer vision;feature extraction;gesture recognition;handicapped aids;human computer interaction;neural nets;virtual reality,Augmented Reality;CNN;computer vision;Convolutional Neural network;Convolutional Neural Networks;hand gestures;real-time system;sign language detection;time gesture detection,,,,11,IEEE,22-Dec-22,,,IEEE,IEEE Conferences,Yes ,Yes,No,Yes,""" The proposed CNN is first
trained with 400 samples of each gesture to test its
effectiveness, and then the number of samples are raised for
each gesture to assess the highest levels of accuracy."" p.2.",,15
